元のファイル名,タイトル,変換後のファイル名
"5g-6g-edge-ai-in-network-computing-local-5g.txt","5g-6g-edge-ai-in-network-computing-local-5g","5g-6g-edge-ai-in-network-computing-local-5g.html"
"advanced-automotive-infrastructure-next-generation-mobility-technologies.txt","advanced-automotive-infrastructure-next-generation-mobility-technologies","advanced-automotive-infrastructure-next-generation-mobility-technologies.html"
"advanced-computing-infrastructure-advanced-data-centers-industry-intelligence20262030.txt","advanced-computing-infrastructure-advanced-data-centers-industry-intelligence20262030","advanced-computing-infrastructure-advanced-data-centers-industry-intelligence20262030.html"
"advanced-materials-and-atomice-engineering.txt","advanced-materials-and-atomice-engineering","advanced-materials-and-atomice-engineering.html"
"ai-accounting-ai-auditing.txt","ai-accounting-ai-auditing","ai-accounting-ai-auditing.html"
"ai-and-finance-ai-in-finance.txt","ai-and-finance-ai-in-finance","ai-and-finance-ai-in-finance.html"
"ai-data-scientist-ai-data-trader.txt","ai-data-scientist-ai-data-trader","ai-data-scientist-ai-data-trader.html"
"ai-driven-drug-discovery-ai-powered-drug-discovery-support.txt","ai-driven-drug-discovery-ai-powered-drug-discovery-support","ai-driven-drug-discovery-ai-powered-drug-discovery-support.html"
"ai-drones-industry-technology-market.txt","ai-drones-industry-technology-market","ai-drones-industry-technology-market.html"
"ai-energy-climate-and-grid-optimization.txt","ai-energy-climate-and-grid-optimization","ai-energy-climate-and-grid-optimization.html"
"ai-governance-responsible-ai-fate-xai-eu-regulatory-compliance.txt","ai-governance-responsible-ai-fate-xai-eu-regulatory-compliance","ai-governance-responsible-ai-fate-xai-eu-regulatory-compliance.html"
"ai-in-manufacturing-and-industrial-ai.txt","ai-in-manufacturing-and-industrial-ai","ai-in-manufacturing-and-industrial-ai.html"
"ai-investment-theme-map-trends-innvestment-companies.txt","ai-investment-theme-map-trends-innvestment-companies","ai-investment-theme-map-trends-innvestment-companies.html"
"ai-marketing-marketing-ai.txt","ai-marketing-marketing-ai","ai-marketing-marketing-ai.html"
"ai-native-businesses-business-model-advantages.txt","ai-native-businesses-business-model-advantages","ai-native-businesses-business-model-advantages.html"
"ai-on-5g-and-6g-smart-connectivity-in-the-ai-era.txt","ai-on-5g-and-6g-smart-connectivity-in-the-ai-era","ai-on-5g-and-6g-smart-connectivity-in-the-ai-era.html"
"ai-research-ai-for-scientific-research.txt","ai-research-ai-for-scientific-research","ai-research-ai-for-scientific-research.html"
"ai-tax-accounting-ai-tax-services.txt","ai-tax-accounting-ai-tax-services","ai-tax-accounting-ai-tax-services.html"
"artificial-general-intelligence-superintelligence.txt","artificial-general-intelligence-superintelligence","artificial-general-intelligence-superintelligence.html"
"autonomous-agent-engineering-harness-engineering.txt","autonomous-agent-engineering-harness-engineering","autonomous-agent-engineering-harness-engineering.html"
"autonomous-agents-agent-factory-composite-ai-a2a-mcp.txt","autonomous-agents-agent-factory-composite-ai-a2a-mcp","autonomous-agents-agent-factory-composite-ai-a2a-mcp.html"
"bioconvergence-and-llife-innovation-engine.txt","bioconvergence-and-llife-innovation-engine","bioconvergence-and-llife-innovation-engine.html"
"biomechatronics-exoskeletons-bci-haptics-human-augmentation.txt","biomechatronics-exoskeletons-bci-haptics-human-augmentation","biomechatronics-exoskeletons-bci-haptics-human-augmentation.html"
"blockchain-smart-contracts-stablecoins-rwa-tokens.txt","blockchain-smart-contracts-stablecoins-rwa-tokens","blockchain-smart-contracts-stablecoins-rwa-tokens.html"
"cbdc-and-private-digital-assets.txt","cbdc-and-private-digital-assets","cbdc-and-private-digital-assets.html"
"cognitive-intelligence-nexus.txt","cognitive-intelligence-nexus","cognitive-intelligence-nexus.html"
"composite-ai-cross-disciplinary-collaboration-in-advanced-ai.txt","composite-ai-cross-disciplinary-collaboration-in-advanced-ai","composite-ai-cross-disciplinary-collaboration-in-advanced-ai.html"
"computing-continuum-robotics-continuum-sky-computing.txt","computing-continuum-robotics-continuum-sky-computing","computing-continuum-robotics-continuum-sky-computing.html"
"concessions-ppp-pfi.txt","concessions-ppp-pfi","concessions-ppp-pfi.html"
"confidential-computing-highly-confidential-ai.txt","confidential-computing-highly-confidential-ai","confidential-computing-highly-confidential-ai.html"
"corporate-digital-sovereignty-corporate-sovereign-ai-on-premises-ai.txt","corporate-digital-sovereignty-corporate-sovereign-ai-on-premises-ai","corporate-digital-sovereignty-corporate-sovereign-ai-on-premises-ai.html"
"cx-agent-commerce-voice-ai-holonic-community.txt","cx-agent-commerce-voice-ai-holonic-community","cx-agent-commerce-voice-ai-holonic-community.html"
"d2c-commerce-agent-based-commerce.txt","d2c-commerce-agent-based-commerce","d2c-commerce-agent-based-commerce.html"
"design-ai-ai-driven-design-design-infrastructure.txt","design-ai-ai-driven-design-design-infrastructure","design-ai-ai-driven-design-design-infrastructure.html"
"digital-clone-human-like-digital-twin.txt","digital-clone-human-like-digital-twin","digital-clone-human-like-digital-twin.html"
"digital-twin20-digital-clone-human-like-dt.txt","digital-twin20-digital-clone-human-like-dt","digital-twin20-digital-clone-human-like-dt.html"
"document-ai-corporate-knowledge-platform.txt","document-ai-corporate-knowledge-platform","document-ai-corporate-knowledge-platform.html"
"fdi-in-the-us.txt","fdi-in-the-us","fdi-in-the-us.html"
"green-buildings-and-zero-Energy-cities.txt","green-buildings-and-zero-Energy-cities","green-buildings-and-zero-energy-cities.html"
"human-technology-coevolution-digital-workers-hl-roi.txt","human-technology-coevolution-digital-workers-hl-roi","human-technology-coevolution-digital-workers-hl-roi.html"
"implementing-corporate-data-catalogs-ai-and-catalogs.txt","implementing-corporate-data-catalogs-ai-and-catalogs","implementing-corporate-data-catalogs-ai-and-catalogs.html"
"industry-landscape-of-robot-unit-module-manufacturers.txt","industry-landscape-of-robot-unit-module-manufacturers","industry-landscape-of-robot-unit-module-manufacturers.html"
"industry-landscape-providers-and-suppliers-of-various-robots.txt","industry-landscape-providers-and-suppliers-of-various-robots","industry-landscape-providers-and-suppliers-of-various-robots.html"
"inference-ai-real-time-ai.txt","inference-ai-real-time-ai","inference-ai-real-time-ai.html"
"insurance-insurtech-new-trends-in-risk-transfer.txt","insurance-insurtech-new-trends-in-risk-transfer","insurance-insurtech-new-trends-in-risk-transfer.html"
"integrated-framework-for-utonomous-ai-agents-and-cybernetics-50-scorecard-design.txt","integrated-framework-for-utonomous-ai-agents-and-cybernetics-50-scorecard-design","integrated-framework-for-utonomous-ai-agents-and-cybernetics-50-scorecard-design.html"
"intellectual-property-in-cutting-edge-technology-fields-aiipatents.txt","intellectual-property-in-cutting-edge-technology-fields-aiipatents","intellectual-property-in-cutting-edge-technology-fields-aiipatents.html"
"legacy-modernization-next-generation-core-erp-automation-of-back-office-operations.txt","legacy-modernization-next-generation-core-erp-automation-of-back-office-operations","legacy-modernization-next-generation-core-erp-automation-of-back-office-operations.html"
"legal-ai-ai-platform-specialized-inlaw.txt","legal-ai-ai-platform-specialized-inlaw","legal-ai-ai-platform-specialized-inlaw.html"
"Manufacturing-Industrial-Machinery-Industrial-Automation-Industrial-Robotics-and-Industrial-Intelligence- 20262030.txt","Manufacturing-Industrial-Machinery-Industrial-Automation-Industrial-Robotics-and-Industrial-Intelligence- 20262030","manufacturing-industrial-machinery-industrial-automation-industrial-robotics-and-industrial-intelligence-20262030.html"
"model-of-embodied-intelligence-embodied AI.txt","model-of-embodied-intelligence-embodied AI","model-of-embodied-intelligence-embodied-ai.html"
"naturetech-circular-processing-technology-industry-intelligence-20262030.txt","naturetech-circular-processing-technology-industry-intelligence-20262030","naturetech-circular-processing-technology-industry-intelligence-20262030.html"
"non-stop-factories-wireless-factories.txt","non-stop-factories-wireless-factories","non-stop-factories-wireless-factories.html"
"omnimodal-reasoning-model.txt","omnimodal-reasoning-model","omnimodal-reasoning-model.html"
"on-premises-ai-ai-workstation.txt","on-premises-ai-ai-workstation","on-premises-ai-ai-workstation.html"
"optical-electrical-integration-cpo-and-lpo.txt","optical-electrical-integration-cpo-and-lpo","optical-electrical-integration-cpo-and-lpo.html"
"payment-infrastructure-deep-insights—from-tokenized-deposits-to-stablecoins.txt","payment-infrastructure-deep-insights—from-tokenized-deposits-to-stablecoins","payment-infrastructure-deep-insightsfrom-tokenized-deposits-to-stablecoins.html"
"plastic-free-alternatives.txt","plastic-free-alternatives","plastic-free-alternatives.html"
"post-iran-war-scenarios-deep-insight.txt","post-iran-war-scenarios-deep-insight","post-iran-war-scenarios-deep-insight.html"
"power-infrastructure-smart-grid-industry-intelligence-20262030.txt","power-infrastructure-smart-grid-industry-intelligence-20262030","power-infrastructure-smart-grid-industry-intelligence-20262030.html"
"quantum-cloud-photonics-neuromorphic-chiplets.txt","quantum-cloud-photonics-neuromorphic-chiplets","quantum-cloud-photonics-neuromorphic-chiplets.html"
"quantum-industry-infrastructure-quantum-ecosystem.txt","quantum-industry-infrastructure-quantum-ecosystem","quantum-industry-infrastructure-quantum-ecosystem.html"
"railways-urban-mobility-and-maas-integration.txt","railways-urban-mobility-and-maas-integration","railways-urban-mobility-and-maas-integration.html"
"reasoning-ai-thinking-ai-agent-based-reasoning.txt","reasoning-ai-thinking-ai-agent-based-reasoning","reasoning-ai-thinking-ai-agent-based-reasoning.html"
"robotics-platform-world-model.txt","robotics-platform-world-model","robotics-platform-world-model.html"
"sdx-sd-wan-microservices-data-mesh-it-ot-onvergence.txt","sdx-sd-wan-microservices-data-mesh-it-ot-onvergence","sdx-sd-wan-microservices-data-mesh-it-ot-onvergence.html"
"smart-contract-automation.txt","smart-contract-automation","smart-contract-automation.html"
"soft-robotics-bionics-bio-robotics-cybernetics.txt","soft-robotics-bionics-bio-robotics-cybernetics","soft-robotics-bionics-bio-robotics-cybernetics.html"
"solar-thermal-to-electric-conversion-csp.txt","solar-thermal-to-electric-conversion-csp","solar-thermal-to-electric-conversion-csp.html"
"sustainable-companies-key-performance-indicators-overview.txt","sustainable-companies-key-performance-indicators-overview","sustainable-companies-key-performance-indicators-overview.html"
"template.txt","template","template.html"
"the-complete-guide-to-claude.txt","the-complete-guide-to-claude","the-complete-guide-to-claude.html"
"the-dynamic-shift-in-investment-in-china.txt","the-dynamic-shift-in-investment-in-china","the-dynamic-shift-in-investment-in-china.html"
"the-multifaceted-impact-of-frontier-ai-roadmap-1.txt","the-multifaceted-impact-of-frontier-ai-roadmap-1","the-multifaceted-impact-of-frontier-ai-roadmap-1.html"
"the-multifaceted-impact-of-frontier-ai-roadmap-2.txt","the-multifaceted-impact-of-frontier-ai-roadmap-2","the-multifaceted-impact-of-frontier-ai-roadmap-2.html"
"the-structure-of-the-ai-boom-deep-insights-20262030.txt","the-structure-of-the-ai-boom-deep-insights-20262030","the-structure-of-the-ai-boom-deep-insights-20262030.html"
"voice-ai-voice-ai-agent.txt","voice-ai-voice-ai-agent","voice-ai-voice-ai-agent.html"
"zero-trust-pqc-ai-red-team-cross-domain-cybersecurity.txt","zero-trust-pqc-ai-red-team-cross-domain-cybersecurity","zero-trust-pqc-ai-red-team-cross-domain-cybersecurity.html"
